DoctorID,SocialSecurityNo
01HZNPDK3W3TSYR7FHM19Y3KPA,884-60-3908
01HZNPDK3X01D3KK5Y1VMHVGQY,112-98-1111
01HZNPDK3XZEJQ4SVPTDP716RW,543-42-3907
01HZNPDK3YEP9T6YCFE856PECE,346-61-1379
01HZNPDK3ZYNF6NWKP5J0D24EF,305-12-5118
01HZNPDK40FSK1W4DP1HHRR7BP,350-01-1438
01HZNPDK406A86EGC1X4YART6Z,238-75-3755
01HZNPDK41783SNRZAEKWC4A9A,439-20-2514
01HZNPDK425B33KEMFSEPFM1PS,800-17-9220
01HZNPDK43CNK1XSQYTJ9MFMQB,869-79-5838
01HZNPDK43T34T4G91N0566735,814-46-3453
01HZNPDK4432C2S7QHTQDAXN8A,567-67-2092
01HZNPDK442Q7GM089GZRJ7VCY,494-35-4564
01HZNPDK4472Z93D86ETM2S7RM,448-40-3728
01HZNPDK45AEF5DTREF0ERQ1GW,843-55-3412
01HZNPDK45Z72BPHFX19WF66BX,554-20-9742
01HZNPDK46TCT16NHVY9TJVM0T,122-59-1663
01HZNPDK46N6AJ4MB913TETFZP,407-51-8784
01HZNPDK46V8590JJDZMXXWJKB,705-88-3254
01HZNPDK479DM5219YQDEQC5YS,121-08-8994
01HZNPDK47AYP08AMB6XEGXSKF,288-01-7840
01HZNPDK48FACJCY0G69WP4HQE,619-65-5382
01HZNPDK485W5R7VV9EWS5KG9P,247-13-3712
01HZNPDK48KSB0XN8E758DEY1A,587-75-3031
01HZNPDK49JCK6HFWAW2NHCVRR,836-07-6534
01HZNPDK49FE3FNCPGY2N6C8FY,893-32-0579
01HZNPDK49GRHXWGMZXGGT6GXP,611-99-4626
01HZNPDK4ADD8JSP6BNNXR65K8,461-22-7422
01HZNPDK4AFH9S8RGR3YFNHT98,692-95-3474
01HZNPDK4BN43102H5PW71EA8Z,694-79-1622
01HZNPDK4BVNM7CM2ED76A75H4,436-55-4429
01HZNPDK4B61ES6T39DM7FHKAK,426-11-0590
01HZNPDK4C0XZFY2K5R2W85HP7,526-94-8282
01HZNPDK4CMHFXBJJNCWHKDAMQ,665-14-3616
01HZNPDK4D47EW9PF3SRYX67T6,232-42-7983
01HZNPDK4D1DMSAJKTB7M5KC8X,703-94-8956
01HZNPDK4EG4817A8EPZS5YA92,137-39-5268
01HZNPDK4E1SEGVCTTGNFDK080,573-94-6274
01HZNPDK4EVNHBA5HY7V043QKC,200-50-4684
01HZNPDK4FV3ET9J5Y6DV345D0,334-49-9996
01HZNPDK4F6VABA8QQZNT20WSR,195-62-8232
01HZNPDK4G97G4TNA0560XD80R,364-06-6764
01HZNPDK4GZ6GRN1X0BVFFYFXY,677-24-3760
01HZNPDK4GJCT90H30DAC30S6P,108-58-2088
01HZNPDK4H2YSX9ZM66XXDT73F,735-32-7133
01HZNPDK4HV575RH0ZCYX1N858,670-02-1384
01HZNPDK4JXGGV8QMYQX9DM7Q7,568-64-9517
01HZNPDK4JKK5ZZYV2G7RXHVTE,623-14-6383
01HZNPDK4JJEW2E8GN4N0AKBWC,772-02-8434
01HZNPDK4KS5Q5WH1NX6HSDEKZ,770-11-8561
01HZNPDK4K73YTB48A06Q04MN3,151-97-3517
01HZNPDK4MWY4EXZAPBMG0GH1K,575-63-2488
01HZNPDK4MWTM09FF7AW6D74BP,240-01-8978
01HZNPDK4MWK4MDHHKY2DG295K,472-97-8131
01HZNPDK4NACX96MCCQ18TQCNA,281-66-1142
01HZNPDK4N07B7FWDM6E44MNPP,894-82-2664
01HZNPDK4PCFBH8B3NF3MV98V6,446-19-0997
01HZNPDK4P06JHZ9T6H41QBHAP,664-06-4584
01HZNPDK4PENQJ4D244ZW5Z5H4,194-97-1848
01HZNPDK4QKK54645H7YTFCWDE,454-91-4913
01HZNPDK4Q63MGCEQDRRGV4SKQ,344-62-1119
01HZNPDK4R5K35F989JACF7X39,344-51-2723
01HZNPDK4RP02XD8QHEX5NANQH,191-55-1882
01HZNPDK4RG01WQ2GB7WAZQNZ7,754-28-9322
01HZNPDK4S8029687F207698R2,251-97-3314
01HZNPDK4S7V5QYS7WCNS9VWKW,543-30-0491
01HZNPDK4T73KJ1AFKAWR6NDXD,701-56-0931
